ID,timestamp,assignedCores,assignedMemory,assignedDisk,server
S3C5IK6n98OB5wTcPFJLC729q1GmsXaaowA8WStBcr48627UbsaUP2c8lSHZGkt6k,2017-10-31 13:01:25.002,1,8.0,512.0,8mBEZcd0Kcf5pwgHQ4wGIVPl2SfP8qWkqDFhwePB1nFa09SU4f55NTrN7AHX7fiNiRbmQ
OXit92Ih5ytyadM0T9htBwXsNF3nprHdKyGPoF2ECqxJM1EvbamWA8HTQVw4AnU,2017-10-31 13:01:25.002,2,1.0,0.0,8mBEZcd0Kcf5pwgHQ4wGIVPl2SfP8qWkqDFhwePB1nFa09SU4f55NTrN7AHX7fiNiRbmQ
S0L3Ym3C4BJOu0v9ZsQwXG5U4LOOiBfEKBFJcDH6dlQsECSGxIDLzWgohH,2017-10-31 13:01:25.002,2,4.0,512.0,8mBEZcd0Kcf5pwgHQ4wGIVPl2SfP8qWkqDFhwePB1nFa09SU4f55NTrN7AHX7fiNiRbmQ
urmeQLeDcE0nE3wa6ZBnzQlQOfZfGRb23xhMp5w8DfeMlnE4hK8VXAWBcFkusyV9j8umX,2017-10-31 13:01:25.002,2,-1.0,-768.0,8mBEZcd0Kcf5pwgHQ4wGIVPl2SfP8qWkqDFhwePB1nFa09SU4f55NTrN7AHX7fiNiRbmQ
IG8K6cvQgHBAXqeyWdg2KozCyEUN7iTXqRDrTEuEUOiRY1IBcYJ3HGRZajUatg,2017-10-31 13:01:25.003,1,-1.0,-128.0,8mBEZcd0Kcf5pwgHQ4wGIVPl2SfP8qWkqDFhwePB1nFa09SU4f55NTrN7AHX7fiNiRbmQ
qu9uNvfwXnBufbjTyg9jWApTN6ZRXsKAPdYkMf67syNsUq2EfaUBpvKsN6x,2017-10-31 13:01:25.004,2,4.0,-512.0,c4mEmsHVPVGAVixk9AeEtuIbzBjWfb7c2YzdrbFKm1Jh8mAMauBtkzTH7h0Ge0WmYkL
AJTkEzA98dsxsrhAfPdrfkPqi4GpC2hfVDN0rpQeTw8P9kb1cNn3d2BbFPW,2017-10-31 13:01:25.004,1,1.0,-384.0,c4mEmsHVPVGAVixk9AeEtuIbzBjWfb7c2YzdrbFKm1Jh8mAMauBtkzTH7h0Ge0WmYkL
ff5khUOXHAu4YJU0pYGTt6uXTuSyKJ096rqOYllqGjk0KUfccK1bO86dmV5lwoUS,2017-10-31 13:01:25.005,2,-1.0,0.0,c4mEmsHVPVGAVixk9AeEtuIbzBjWfb7c2YzdrbFKm1Jh8mAMauBtkzTH7h0Ge0WmYkL
dATSbxk0sbEQKUNNzSoVhpJ1qxEN9A6JnqNlRxJJfzBwkAZOB3vjsPlhGkQjUqn,2017-10-31 13:01:25.005,1,1.0,-768.0,c4mEmsHVPVGAVixk9AeEtuIbzBjWfb7c2YzdrbFKm1Jh8mAMauBtkzTH7h0Ge0WmYkL
mAH1FlGvQYXCwGS0NMLmxZhY6op7ZNJHfm8GlhRZWFQKid3VYtArjzDlOAqh,2017-10-31 13:01:25.005,2,8.0,640.0,c4mEmsHVPVGAVixk9AeEtuIbzBjWfb7c2YzdrbFKm1Jh8mAMauBtkzTH7h0Ge0WmYkL
bP1tbfHY69s2W6rqKtBiyXhw6vDr7t5uRylELoaA3MFKqmAHjTiYwX36y6uCT5Wf,2017-10-31 13:01:25.005,1,-6.0,896.0,c4mEmsHVPVGAVixk9AeEtuIbzBjWfb7c2YzdrbFKm1Jh8mAMauBtkzTH7h0Ge0WmYkL
mUQLnu1Xk6yTFbuZik3QtcawzMnSEyJcXugZEF4PqMzh8JW3aXE6IKcCGE7Spdj8uk6p,2017-10-31 13:01:25.006,2,-4.0,128.0,c4mEmsHVPVGAVixk9AeEtuIbzBjWfb7c2YzdrbFKm1Jh8mAMauBtkzTH7h0Ge0WmYkL
ZYj1t5uk6cFIHiL96sqQhLKfvXM9cn2c5YHbHgnOUHgYDz5tyIWE7ai1gh8FQ8Rf5C88W,2017-10-31 13:01:25.006,2,0.0,-512.0,c4mEmsHVPVGAVixk9AeEtuIbzBjWfb7c2YzdrbFKm1Jh8mAMauBtkzTH7h0Ge0WmYkL
FkL7HzKJoX7Zfh4FXu9FvWebV9Bv6bPXzfJsdxMMwgOJrYw8ItHAssXQnceR1ICO7mQ7p,2017-10-31 13:01:25.007,0,3.0,-768.0,iTdy14nguPphV2oY9TVg3W1YmweoqbKDyjOw06420AECM6FX9TPf8meMtFKSAELnudUKw
YVXNJdApaGFuOOzGLIDvJfwSoVMK1sgOlueNhxlPse18EVzKT6VjhQ03iLP6hR0Ujxf0,2017-10-31 13:01:25.007,0,3.0,-256.0,iTdy14nguPphV2oY9TVg3W1YmweoqbKDyjOw06420AECM6FX9TPf8meMtFKSAELnudUKw
YHGnqyHWVjG9WHaw6OU9fcFfP2JzVdGKKeNVDrteT0Ouleyy3BSumkGXGKf7Kwod,2017-10-31 13:01:25.008,0,8.0,128.0,iTdy14nguPphV2oY9TVg3W1YmweoqbKDyjOw06420AECM6FX9TPf8meMtFKSAELnudUKw
rizWk7BvLyc59kOeDCXLQJBkeoHCGfKn9EPl3Ae9GHxUrVWLiCUHq4l8fB9VHIYV3DX,2017-10-31 13:01:25.008,0,-6.0,768.0,iTdy14nguPphV2oY9TVg3W1YmweoqbKDyjOw06420AECM6FX9TPf8meMtFKSAELnudUKw
yiGruYDUvEoT0UUzwVdmqTYjVMATxA8W1g4RitvZqNyuXG7aDD4NH2Q7kea,2017-10-31 13:01:25.008,2,4.0,896.0,iTdy14nguPphV2oY9TVg3W1YmweoqbKDyjOw06420AECM6FX9TPf8meMtFKSAELnudUKw
wk8avkhllFxAjJDUqV1982qstVFUiul2CwaaOmYJDRTQatdUpK30d8jT4hxcSx8,2017-10-31 13:01:25.009,0,6.0,512.0,iTdy14nguPphV2oY9TVg3W1YmweoqbKDyjOw06420AECM6FX9TPf8meMtFKSAELnudUKw
pNlDrCgq8hhdXl2XZ5qwFGqNFOBTPEcvWOGYJiFdH39V8xV5dMYT1RXOuFE1v,2017-10-31 13:01:25.009,2,-6.0,896.0,iTdy14nguPphV2oY9TVg3W1YmweoqbKDyjOw06420AECM6FX9TPf8meMtFKSAELnudUKw
rnTn0N5YwbFVgen7ST6hfafbQgbUD9mdNmUGAbf8CPMLeazSRar9EZFa3dI7ZrzB9BJc,2017-10-31 13:01:25.009,0,-2.0,128.0,iTdy14nguPphV2oY9TVg3W1YmweoqbKDyjOw06420AECM6FX9TPf8meMtFKSAELnudUKw
dTVfgKjM2MN4qSI4keVEWuKBlsCDGUNfIUXQ3iamJPKPNGKuXsOtGk0vTkWcIEfydvoWG,2017-10-31 13:01:25.01,0,2.0,640.0,iTdy14nguPphV2oY9TVg3W1YmweoqbKDyjOw06420AECM6FX9TPf8meMtFKSAELnudUKw
yaAvGKsXzn7TrrB0yoIkbfIlydT4MHnBdc61bDPhffa9lYscKGApvNV34MNbMp4T,2017-10-31 13:01:25.011,0,0.0,-384.0,Vuzj7LXV4vA6DUVgowlrBppZqOpXgLOoJuAtNyexqYF8HNAB3AhXNVKsZW
4Uxe7EUjdXuywPQ79JqjK6yGG9v6YsuTcNDZu6OnOSKiWDlpI6MPYFsHoAyR92FAZ4xam,2017-10-31 13:01:25.011,0,-4.0,768.0,Vuzj7LXV4vA6DUVgowlrBppZqOpXgLOoJuAtNyexqYF8HNAB3AhXNVKsZW
bbYV0EFvRsTzjqe1ynr2vqnxa0rdcKb7lT5AIPXziUcKpf5Wy0depUQOVHvHzXFl,2017-10-31 13:01:25.011,0,0.0,-512.0,Vuzj7LXV4vA6DUVgowlrBppZqOpXgLOoJuAtNyexqYF8HNAB3AhXNVKsZW
lps7qKfWbXdiMvf4ek212cURQAlNLFWqjyRMmj42g0ITH5Up6X111uLhRR,2017-10-31 13:01:25.011,1,6.0,512.0,Vuzj7LXV4vA6DUVgowlrBppZqOpXgLOoJuAtNyexqYF8HNAB3AhXNVKsZW
v112G3rfA9b2bDnHTN7G7RckoBVG370vHdfy2h0b4qPyteFXNwCv0ucv3bs61PXl49XeGx,2017-10-31 13:01:25.012,2,-4.0,896.0,Vuzj7LXV4vA6DUVgowlrBppZqOpXgLOoJuAtNyexqYF8HNAB3AhXNVKsZW
HHHlSo63PvVpGM6mVoqHge71Nckpy3QxEuS9ofaJuIANIVkNhCy2pcjgOXp9hyAW0RJp,2017-10-31 13:01:25.012,1,-1.0,1024.0,Vuzj7LXV4vA6DUVgowlrBppZqOpXgLOoJuAtNyexqYF8HNAB3AhXNVKsZW
AFJJLad04qspvlbhSYI3aFzgfUlhU9IqXuTkgWFfymcfR7r4x9afLOjU7Mo,2017-10-31 13:01:25.012,0,2.0,128.0,Vuzj7LXV4vA6DUVgowlrBppZqOpXgLOoJuAtNyexqYF8HNAB3AhXNVKsZW
9Ond1JDvIg1GPQppcR3Eqqyigi0TlvEBQrBrRTyNd1ev9QzjTlg39Wya3ffVLJcpfo2,2017-10-31 13:01:25.013,2,3.0,128.0,ARt3iQGwUcuBPty0B6DfhMIkFt3FKOXlH1QuhWovcfKxu9i0dEjB35YT9v
TFxkMPfwIfi9N3XO5LZdQqMHqxMVsuq42xp0BLJcegzaRVhtpI7b3t2rdJTQ,2017-10-31 13:01:25.013,2,0.0,256.0,ARt3iQGwUcuBPty0B6DfhMIkFt3FKOXlH1QuhWovcfKxu9i0dEjB35YT9v
85zBwLvy5nuva2Zu9RmPSAuT36cDZkvgGsleRhRWdCUmbbX2kcO1CTffoXSSr4rxg,2017-10-31 13:01:25.014,1,-1.0,768.0,ARt3iQGwUcuBPty0B6DfhMIkFt3FKOXlH1QuhWovcfKxu9i0dEjB35YT9v
FgGKOnjOWqhp60cHyNiepT2JZQ6jL9k5R213lepQpgItQBaK2UnQT3wxQ7c2,2017-10-31 13:01:25.014,2,-4.0,0.0,ARt3iQGwUcuBPty0B6DfhMIkFt3FKOXlH1QuhWovcfKxu9i0dEjB35YT9v
HAkB3rCpZ0GOISI3weN7qjelZ5mqhQPWVAuA3yqGRZpLu9O2PCcWrigHYSUq3,2017-10-31 13:01:25.014,2,-1.0,0.0,ARt3iQGwUcuBPty0B6DfhMIkFt3FKOXlH1QuhWovcfKxu9i0dEjB35YT9v
beBL94YMYbQEqo4MZxwFyNL1P4PxeAckbGxM3aGLmYIy7lcy7flkczeZ90O47U38Zm4GLZ,2017-10-31 13:01:25.014,2,8.0,1024.0,ARt3iQGwUcuBPty0B6DfhMIkFt3FKOXlH1QuhWovcfKxu9i0dEjB35YT9v
RTSkBQgFPH410SViLusRTigbkjR2ffYNvfkJUC4pIDFxp5vymk7sg7nstI8D,2017-10-31 13:01:25.014,1,2.0,640.0,ARt3iQGwUcuBPty0B6DfhMIkFt3FKOXlH1QuhWovcfKxu9i0dEjB35YT9v
aBedBXa9Na5pQZHFuri8D1s62uzpX3dSRSUeluFhX5VggR9XYAjEicvosmVS,2017-10-31 13:01:25.015,1,-3.0,768.0,ARt3iQGwUcuBPty0B6DfhMIkFt3FKOXlH1QuhWovcfKxu9i0dEjB35YT9v
iV06ttOwf9NvIkUpOTH5jLkPZb0SYigy10ZpMDqOLmOSdlZvrOxNTM7ONdJwSwpNZ4ciXs,2017-10-31 13:01:25.015,1,6.0,896.0,ARt3iQGwUcuBPty0B6DfhMIkFt3FKOXlH1QuhWovcfKxu9i0dEjB35YT9v
